City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
153,Bikapur,IN,2022-10-25 23:14:03,26.6,82.1333,66.63,61,0,0.87,clear sky
154,Komsomolskiy,UZ,2022-10-25 23:14:03,40.4272,71.7189,56.12,76,40,6.91,scattered clouds
155,Kedrovyy,RU,2022-10-25 23:14:04,56.1667,91.8167,18.01,64,9,4.03,clear sky
156,Arlit,NE,2022-10-25 23:14:04,18.7369,7.3853,78.42,13,0,13.06,clear sky
157,Vytegra,RU,2022-10-25 23:14:05,61.0064,36.4481,31.68,82,71,7.45,broken clouds
158,Mount Gambier,AU,2022-10-25 23:14:06,-37.8333,140.7667,58.91,94,100,9.22,overcast clouds
159,Manta,EC,2022-10-25 23:14:07,-0.95,-80.7333,71.38,78,75,12.66,broken clouds
160,Halifax,CA,2022-10-25 23:12:38,44.6453,-63.5724,65.7,97,99,1.99,overcast clouds
161,Castro,BR,2022-10-25 23:14:08,-24.7911,-50.0119,60.96,88,0,6.69,clear sky
162,Verkhoyansk,RU,2022-10-25 23:14:08,67.5447,133.385,12.42,84,100,3.27,overcast clouds
163,Dhidhdhoo,MV,2022-10-25 23:12:38,6.8833,73.1,80.35,78,63,4.21,broken clouds
164,Lar,IN,2022-10-25 23:14:09,26.2039,83.9717,67.73,65,0,1.21,clear sky
165,Selfoss,IS,2022-10-25 23:14:10,63.9331,-20.9971,44.04,66,100,17.78,overcast clouds
166,Vila Velha,BR,2022-10-25 23:14:11,-20.3297,-40.2925,69.94,96,100,4.61,overcast clouds
167,Coos Bay,US,2022-10-25 23:14:12,43.3665,-124.2179,58.98,81,0,12.66,clear sky
168,Kalmunai,LK,2022-10-25 23:14:13,7.4167,81.8167,76.46,88,84,2.73,light rain
169,Iralaya,HN,2022-10-25 23:14:13,15.0,-83.2333,81.16,76,48,6.73,scattered clouds
170,San Cristobal,VE,2022-10-25 23:14:14,7.7669,-72.225,71.78,86,99,0.76,overcast clouds
171,Hanmer Springs,NZ,2022-10-25 23:14:15,-42.5167,172.8167,57.36,67,90,9.48,overcast clouds
172,Olafsvik,IS,2022-10-25 23:14:15,64.8945,-23.7142,41.83,81,100,20.36,overcast clouds
173,Houma,US,2022-10-25 23:14:17,29.5958,-90.7195,75.0,65,0,6.91,clear sky
174,Abbeville,FR,2022-10-25 23:14:18,50.1,1.8333,59.25,70,100,13.94,overcast clouds
175,Chokurdakh,RU,2022-10-25 23:14:18,70.6333,147.9167,6.19,97,100,2.68,overcast clouds
176,Souillac,MU,2022-10-25 23:14:19,-20.5167,57.5167,70.88,83,5,9.62,clear sky
177,Serebryansk,KZ,2022-10-25 23:14:20,49.6925,83.2892,30.33,49,29,5.08,scattered clouds
178,Svetlogorsk,BY,2022-10-25 23:14:21,52.6333,29.7333,51.17,98,100,6.26,overcast clouds
179,Chara,RU,2022-10-25 23:14:21,56.9064,118.2631,16.56,69,29,3.15,scattered clouds
180,Huaicheng,CN,2022-10-25 23:15:23,23.9051,112.1931,63.57,85,57,1.34,broken clouds
181,Vostok,RU,2022-10-25 23:15:24,46.4856,135.8833,34.38,44,8,3.67,clear sky
182,Port Hawkesbury,CA,2022-10-25 23:15:25,45.6169,-61.3485,64.58,99,72,3.0,broken clouds
